basisofrecord,country,stateprovince,seq,institutioncode,collectioncode,catalognumber,scientificname,yearcollected,monthcollected,daycollected,collector,collectornumber,fieldnumber,county,locality,longitude,latitude,notes
PreservedSpecimen,Brasil,Minas Gerais,2475,UFMG,BHCB,154824,Tacinga inamoena,2012,3,21,"Araujo, D; Portugal-Santana, A; Miranda, PLS; G�es-Neto, LAA; Stehmann, JR",2067,,Rio Pardo de Minas,"Parque Estadual de Serra Nova, Estrada da trilha para c�rrego da Velha (escorregador)",-42.733889,-15.615833,"Prensado em �lcool; Erva, frutos imaturos verdes, maduros amarelos; Entre rochas"
PreservedSpecimen,Brasil,Minas Gerais,2476,UNICAMP,UEC,114521,Brasilicereus markgrafii,2000,8,16,"Aona, LYS; Belinello, R",699,,Gr�o Mogol,"Parque Estadual G.M., inicio da trilha para Serra do Bar�o.",-45.886111,-16.653056,"At� 1 m, espinho central amarelo, bot�o com perianto externo esverdeado com �pice vermelho, cultivo."
PreservedSpecimen,Brasil,Bahia,2479,UNICAMP,UEC,39819,Pereskia aureiflora,1977,3,25,"Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS",19992,,Rio de Contas,Serra do Rio de Contas 13 km E of the town of Vila do Rio de Contas on the road to Marcolino Moura. Caatinga with riverine vegetation and associated cultivation on sandy soil.,-42.394019,-13.975756,"Tree to 4m. Leaves fleshy, paler below. Fruit orbicular, chocolate-purple."
PreservedSpecimen,Brasil,Minas Gerais,2481,UNICAMP,UEC,117841,Arrojadoa dinae eriocaulis,1988,11,9,"Harley, RM; Taylor, N; Zappi, DC",25518,,Rio Pardo de Minas,12 Km de Mato Verde na estrada para Sto. Ant�nio do Retiro.,-42.75,-15.383333,"Cacto com raiz principal tuberosa napiforme, at� 11 cm de comprimento x 12 cm de di�metro. Caules estreitos e lenhosos na base (? s vezes 4-6 mm de largura), expandindo-se at� 17 mm de largura, altura at� 50 cm, com at� 3 an�is de cef�l"
PreservedSpecimen,Brasil,Minas Gerais,2486,UNICAMP,UEC,125333,Arthrocereus melanurus,2000,11,21,"Kinoshita, LS; Aona, LYS",00/127,,Jaboticatubas,"Serra do Cip�, Estrada para sede do IBAMA, cerrado e campo rupestre.",-43.640194,-19.3605,"12-14 costelas, medula mucilaginosa, fruto jovem esverdeado com tricomas."
PreservedSpecimen,Brasil,Minas Gerais,2488,UNICAMP,UEC,114874,Pilosocereus fulvilanatus fulvilanatus,2000,8,16,"Aona, LYS; Belinello, R",695,,Gr�o Mogol,"Estrada p/ Crist�lia, afloramento. 13 Km de Gr�o-Mogol.",-45.886111,-16.653056,"3m, ar�ola 0,5cm, cef�lio com pelos dourados, flor 5,5-6,5x3,5cm, fruto 8cm di�metro."
PreservedSpecimen,Brasil,Minas Gerais,2490,MBM,MBM,416216,Tacinga inamoena,2018,11,14,"Cordeiro, J; Brotto, ML",5860,,Crist�lia,,-42.925278,-16.603889,Erva; fruto verde.; Savana (Cerrado sensu stricto).
PreservedSpecimen,Brasil,Bahia,2588,UNICAMP,UEC,52511,Pereskia stenantha,1980,5,1,"Harley, RM; Bromley, GL; Carvalho, AM; Hage, JL; Brito, HS",22011,,Brejol�ndia,"Chapad�o Ocidental da Bahia, 5 Km to the North of Tabocas, which is 10 Km N.W. of Serra Dourada. Disturbed deciduous forest, cultivation and marshyarea with rice fields.",-44.605858,-12.810389,"Shrub to 3 m with few spines. Leaves fleshy, mid green, paler beneath. Flower bud bright pinkish red, surrounded by smaller fleshy green leaves. Fruit green."
PreservedSpecimen,Brasil,Minas Gerais,2591,UNICAMP,UEC,103418,Pilosocereus aurisetus aurisetus,1998,12,18,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R",98/31,,Gouveia,"Sentido Diamantina, MG 259, a 8 Km de Gouveia.",-43.902778,-18.614167,
PreservedSpecimen,Brasil,Minas Gerais,2596,UNICAMP,UEC,114802,Pilosocereus densiareolatus,2000,8,15,"Aona, LYS; Belinello, R",686,,Montes Claros,"BR 135 em dire��o a Janu�ria, Km 354, afloramento.",-43.901111,-16.664722,Ca. 3m.
PreservedSpecimen,Brasil,Piau�,2597,UNICAMP,UEC,133185,Pilosocereus flavipulvinatus,2002,4,22,"Alencar, ME",1449,,Piracuruca,Floresta de PEDRA (1�. Cidade) - PARNA de Sete Cidades.,-41.681194,-4.096861,"�rvore ca. 4,0m de altura, n�o ramifica na base, com sete costelas, frutos imaturos arroxeados, freq. m�dia. Subst. afloramento rochoso.; Cerrado RUPESTRE."
