basisofrecord,country,stateprovince,seq,institutioncode,collectioncode,catalognumber,scientificname,yearcollected,monthcollected,daycollected,collector,collectornumber,fieldnumber,county,locality,longitude,latitude,notes
PreservedSpecimen,Brasil,Bahia,4258,UEFS,HUEFS,245969,Pilosocereus tuberculatus,2018,2,20,"Cardoso, D.",4444,,Barra,"Ibiraba, Comunidade Paulista, plot #2 Projeto Nordeste.",-42.775556,-10.768611,"Arvoreta. Clad�dios verde-cin�reos, regi�o da �reola dos espinhos tornando-se atropurp�reas. Bot�es florais erverdeados. Frutos verdes. �rvore #226."
PreservedSpecimen,Brasil,Minas Gerais,4271,UFU,HUFU,42940,Pilosocereus machrisii,2005,9,30,"Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Hattori, E.K.O.",4001,,Furnas,"Estrada para pedreira Souza, ca. 2km da Rodovia MG 050",-46.264722,-20.633889,"Cerca de 2m. T�ralas vinho, t�palas internas alvas."
PreservedSpecimen,Brasil,Minas Gerais,4272,UFU,HUFU,70411,Pilosocereus machrisii,2003,10,21,"Volpi, R.L.; Nakajima, J.N.; Pacheco, R.A.; Fleury-Silva, H.R. & Rosa, P.O.",726,,Delfin�polis,Estrada para Gurita,-46.871111,-20.281111,"Planta ca. 0,4 m alt. Frutos verdes dourados.; Cerrado Rupestre."
PreservedSpecimen,Brasil,Bahia,4339,NY,NY,470201,Arrojadoa rhodantha,2001,4,1,J. G. Jardim,3366,,,Malhada: Rod. BR 030 Malhada/Palmas de Monte Alto. 19.2 km da sede municipal,-43.6108,-14.2864,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525863' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Bahia,4736,NY,NY,645510,Pereskia stenantha,1980,4,19,R. M. Harley,21543,,,"Basin of the Upper Sao Francisco River. Fazenda Imbuzeiro da On�a, ca. 8 km from Bom Jesus da Lapa, on by-road to Calderao",-43.37,-13.15,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187584' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Bahia,4737,NY,NY,645511,Pereskia stenantha,1980,5,1,R. M. Harley,22011,,,"Chapadao Ocidental da Bahia. 5 km to the North of Tabocas, which is 10 km NW of Serra Dourada. E3",-44.03,-12.65,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187583' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Distrito Federal,4741,NY,NY,2210869,Opuntia,1979,6,12,E. P. Heringer,1539,,,"Estrada para Planaltina, ponte sobre o Rio S�o Bartolomeu.",-47.9294,-15.7797,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2343606' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4810,NY,NY,645602,Rhipsalis cereuscula,1966,9,5,G. G. Hatschbach,14648,,Ponta Grossa Mun.,Anfiteatre,-50.1617,-25.095,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702296' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4811,NY,NY,645401,Lepismium warmingianum,1966,9,5,G. G. Hatschbach,14645,,Ponta Grossa Mun.,Anfiteatre,-50.1617,-25.095,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311623' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4812,NY,NY,645402,Lepismium warmingianum,1966,9,5,G. G. Hatschbach,14645,,Ponta Grossa Mun.,Anfiteatro,-50.1617,-25.095,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311629' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Bahia,4828,NY,NY,996966,Pereskia,1992,6,10,A. M. V. de Carvalho,3964,,Bom Jesus da Lapa Mun.,Concre��es rochosas calc�reas onde fica a gruta do Bom Jesus.,-43.4181,-13.2553,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140714' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Goi�s,4843,NY,NY,996973,Pilosocereus machrisii,1965,10,19,H. S. Irwin,9317,,Alto Para�so de Goi�s Mun.,"Chapada dos Veadeiros, ca. 12 km N.W. of Alto Para�so de Goi�s (formerly Veadeiros).",-47.59528,-14.04001,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140747' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4885,NY,NY,645632,Rhipsalis dissimilis,1996,7,6,H. F. Oliveira,346,,Ponta Grossa Mun.,Parque Estadual Vila Velha (Arenitos),-50.001697,-25.25301,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727663' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4886,NY,NY,645576,Rhipsalis baccifera,1996,7,6,H. F. Oliveira,345,,Ponta Grossa Mun.,Parque Estadual Vila Velha (Lagoa Dourada),-49.97,-25.25,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29409' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4887,NY,NY,645352,Lepismium cruciforme,1996,1,27,H. F. Oliveira,332,,Ponta Grossa Mun.,Parque Estadual Vila Velha (Lagoa Dourada),-49.97,-25.25,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315647' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4888,NY,NY,645600,Rhipsalis cereuscula,1996,8,29,H. F. Oliveira,355,,Ponta Grossa Mun.,"Parque Estadual Vila Velha, Lagoa Dourada",-49.97,-25.25,UPCB-31406 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702294' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,4953,NY,NY,645604,Rhipsalis cereuscula,1989,9,1,J. M. Silva,644,,Tibagi Mun.,"Rodovia BR-376, pr�ximo ao trevo para Tibagi",-50.4133,-24.5094,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702295' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Bahia,4955,NY,NY,1192906,Tacinga inamoena,2001,4,16,J. G. Jardim,3573,,Carinhanha Mun.,"Rod. para Cocos, 13 km W da cidade",-43.8669,-14.2292,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396356' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Bahia,4958,NY,NY,470200,Arrojadoa rhodantha,2001,4,15,J. G. Jardim,3500,,Carinhanha Mun.,"Rod. para Serra do Ramalho, 33.5 km da sede municipal",-43.72,-14.0133,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525862' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Goi�s,5026,NY,NY,996937,Cereus jamacaru colcirupicola,1968,1,24,H. S. Irwin,19110,,Cocalzinho de Goi�s Mun.,"50 km N. of Corumb� de Goi�s on road to Niquel�ndia, valley of Rio Maranh�o. Serra dos Pirineus.",-48.6,-15.57,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139303' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Goi�s,5035,NY,NY,996972,Pilosocereus machrisii,1965,11,1,H. S. Irwin,9716,,Cristalina Mun.,Serra dos Cristais. 5 km W. of Cristalina,-47.6,-16.79518,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140744' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Goi�s,5136,NY,NY,996974,Pilosocereus machrisii,1965,11,1,H. S. Irwin,9716,,Cristalina Mun.,Serra dos Cristais. 5 km W. of Cristalina,-47.6,-16.79518,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140755' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Paran�,5180,NY,NY,645722,Rhipsalis pulvinigera,1914,9,25,P. K. H. Dus�n,15591,,,Vila Velha,-50.012929,-25.234872,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636436' target='other'> <mi>dwc_moreinfo</mi></a>
PreservedSpecimen,Brasil,Bahia,5184,NY,NY,645418,Tacinga inamoena,1972,3,2,W. R. Anderson,36462,,,Espigao Mestre. Serra 34 km W of Barreiras,-44.99,-12.15,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14372' target='other'> <mi>dwc_moreinfo</mi></a>
