id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
"134798727",2022-09-12 19:35:07,2022-09-12,2022-09-12 23:35:07 UTC,America/Cuiaba,"6064856",s_l2004,L,2022-09-12 23:47:38 UTC,2022-09-18 23:59:55 UTC,research,,https://www.inaturalist.org/observations/134798727,https://static.inaturalist.org/photos/229827551/medium.jpeg,,,,"1","0",false,"2","Itiquira, MT, 78790-000, Brasil",-17.2058817065,-54.1468882933,"1916",,,,"1916",,open,false,gps,gps,lady-of-the-night cactus,Cereus hexagonus,Mandacaru-de-oito-costelas,Plantae,"438215"
"135191833",2022/09/10 ,2022-09-10,,Brasilia,"4140797",luciano_bernardes,Luciano Bernardes,2022-09-16 00:08:17 UTC,2023-04-10 23:00:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/135191833,https://inaturalist-open-data.s3.amazonaws.com/photos/230545192/medium.jpg,,,,"5","0",false,,"Minas Gerais, BR",-16.8719414368,-42.80293095,"426",,,,"30780",,obscured,true,,,Discocactus pseudoinsignis,Discocactus pseudoinsignis,,Plantae,"191675"
"135194502",2022/09/09 ,2022-09-09,,Brasilia,"4140797",luciano_bernardes,Luciano Bernardes,2022-09-16 00:38:54 UTC,2023-02-01 13:04:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/135194502,https://inaturalist-open-data.s3.amazonaws.com/photos/230550110/medium.jpg,,,,"1","0",false,,"Montes Claros - MG, Brasil",-16.7073079568,-43.9404122451,"8",,,,"8",,open,false,,,Epiphyllum phyllanthus,Epiphyllum phyllanthus,Falsa-saborosa,Plantae,"191896"
"135236838",2022/09/09 17:24,2022-09-09,2022-09-09 20:24:00 UTC,Brasilia,"4140797",luciano_bernardes,Luciano Bernardes,2022-09-16 13:00:57 UTC,2022-09-25 14:14:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/135236838,https://inaturalist-open-data.s3.amazonaws.com/photos/230631021/medium.jpg,,,,"2","0",false,,"Montes Claros - MG, Brasil",-16.7059083333,-43.920294445,,,,,,,open,false,,,Nopal de la cochinilla,Opuntia cochenillifera,cacto-palma,Plantae,"165876"
"135360546",2022-09-17 09:14:38,2022-09-17,2022-09-17 12:14:38 UTC,Brasilia,"769192",laurentfloresta,Laurent Quéno,2022-09-17 12:22:58 UTC,2023-06-22 12:56:45 UTC,research,,https://www.inaturalist.org/observations/135360546,https://static.inaturalist.org/photos/230859258/medium.jpeg,,,,"3","0",false,"2","Cocalzinho de Goiás - Goiás, 72975-000, Brésil",-15.8139383333,-48.76206,"1",,,,"1",,open,false,,,Pilosocereus vilaboensis,Pilosocereus vilaboensis,Facheiro-amarelo,Plantae,"442118"
"135730800",2022-09-19 20:26:00,2022-09-19,2022-09-20 00:26:00 UTC,America/Cuiaba,"5948269",manuzity,Emanuela Rodrigues Araújo,2022-09-20 00:26:28 UTC,2022-09-20 08:12:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/135730800,https://inaturalist-open-data.s3.amazonaws.com/photos/231543984/medium.jpeg,,,Árvore com muitos espinhos.,"1","0",false,"2","Itiquira, MT, 78790-000, Brasil",-17.2000436992,-54.1413743421,"20",,,,"20",,open,false,gps,gps,Rose Cactus,Pereskia grandifolia,Rosa-madeira,Plantae,"166501"
"136348233",2022-09-24 18:29:00,2022-09-24,2022-09-24 22:29:00 UTC,America/Cuiaba,"6004822",lucasvidotti,,2022-09-24 22:30:57 UTC,2022-09-25 10:31:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/136348233,https://inaturalist-open-data.s3.amazonaws.com/photos/232686078/medium.jpeg,,,,"1","0",false,"2",Itiquira,-17.2058817065,-54.1468882933,"1494370",,,,"1494370",,open,false,gps,gps,Brasiliopuntia brasiliensis,Brasiliopuntia brasiliensis,Urumbeba,Plantae,"184567"
"136368368",2022-09-16 15:36:00,2022-09-16,2022-09-16 19:36:00 UTC,America/Cuiaba,"6064856",s_l2004,L,2022-09-25 01:36:49 UTC,2023-05-03 15:50:12 UTC,research,,https://www.inaturalist.org/observations/136368368,https://static.inaturalist.org/photos/232726102/medium.jpeg,,,,"2","0",false,"2","Itiquira, MT, 78790-000, Brasil",-17.2058817065,-54.1468882933,"1916",,,,"1916",,open,false,gps,gps,Brasiliopuntia brasiliensis,Brasiliopuntia brasiliensis,Urumbeba,Plantae,"184567"
"136509332",2022-09-25,2022-09-25,,America/Cuiaba,"6058789",helena457,Helena Martins Da Silva,2022-09-25 23:41:33 UTC,2023-02-07 23:06:20 UTC,research,,https://www.inaturalist.org/observations/136509332,https://static.inaturalist.org/photos/232988699/medium.jpeg,,,Cactoideae,"2","0",false,"2","Itiquira - MT, 78790-000, Brasil",-17.4476527228,-54.0831791237,"7",,,,"7",,open,false,gps,gps,Cereus bicolor,Cereus bicolor,,Plantae,"438210"
"137029555",2022/09/18 9:57 AM,2022-09-18,2022-09-18 12:57:00 UTC,Brasilia,"1851811",gafischer,Guilherme A. Fischer,2022-09-30 14:56:22 UTC,2022-09-30 19:15:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/137029555,https://inaturalist-open-data.s3.amazonaws.com/photos/233951265/medium.jpeg,,,,"1","0",false,,"Damianópolis - GO, 73980-000, Brasil",-14.5321352552,-46.3010749347,"872",,,,"872",,open,false,,,Epiphyllum phyllanthus,Epiphyllum phyllanthus,Falsa-saborosa,Plantae,"191896"
